Status,Title,Author,Year,Type,Link,Venue,Reason,Notes
Read,Automically Translating C to Rust,Hong et al.,2025,Magazine article,https://doi.org/10.1145/3737696,ACM's CACM,Background on migr. strategy,
Read,How Does Migration to Microservices Happen? A Survey of the Finnish Software Industry,Tuusjärvi et al.,2024,Workshop paper,https://ceur-ws.org/Vol-3776/paper03.pdf,CEUR-WS TKTP 2024,Similar approach to interviews,
Read,"Does migrating a monolithic system to microservices decrease the technical debt?",Lenarduzzi et al.,2020,Journal article,https://doi.org/10.1016/j.jss.2020.110710,Elsevier's Journal of Systems and Software,"Similar approach to tech. debt analysis",
Read,Guidelines for conducting and reporting case study research in software engineering,Runeson et al.,2008,Journal article,https://doi.org/10.1007/s10664-008-9102-8,Springer Emperical Software Engineering,General idea of case study,
To Read,Why Did Developers Migrate Android Applications From Java to Kotlin?,Martinez et al.,2021,Journal article,https://doi.org/10.1109/TSE.2021.3120367,IEEE Transactions on Software Engineering,Similar approach to interviews,
To Read,Benefits and drawbacks of adopting a secure programming language: rust as a case study,Fulton et al.,2021,Conference paper,https://dl.acm.org/doi/10.5555/3563572.3563603,USENIX SOUPS 2021,"Also did interviews, but about using Rust in general",
To Read,"An empirical study of rust-for-Linux: the success, dissatisfaction, and compromise",Li et al.,2024,Conference paper,https://dl.acm.org/doi/10.5555/3691992.3692019,USENIX ATC '24,On reduction of kernel vuln. by using Rust instead,
To Read,Porting C to Rust for a Fast and Safe AV1 Media Decoder,Stephen Crane,2024,Blog post,https://www.memorysafety.org/blog/porting-c-to-rust-for-av1/,Prossimo,Example of C to Rust migration,
To Read,Translating C to safer Rust,Emre et al.,2021,Journal article,https://dl.acm.org/doi/10.1145/3485498,ACM's PACMPL,Background on migr. strategy (mentioned by Hong et al. (2025)),
To Read,Migrating C to Rust for Memory Safety,Per Larsen,2024,Journal article,https://doi.org/10.1109/MSEC.2024.3385357,IEEE Security & Privacy,Helps choose migration strategy,
To Read,"A Systematic Mapping Study Exploring Quantification Approaches to Code, Design, and Architecture Technical Debt",Perera et al.,2024,Journal article,https://dl.acm.org/doi/10.1145/3675393,ACM Transactions on Software Engineering and Methodology,Overview of how to quantify technical debt,
To Read,A systematic mapping study on technical debt and its management,Li et al.,2015,Journal article,https://doi.org/10.1016/j.jss.2014.12.027,Elsevier Journal of Systems and Software,Overview of types of technical debt,
To Read,Can Clean New Code Reduce Technical Debt Density?,Digkas et al.,2020,Journal article,https://doi.org/10.1109/TSE.2020.3032557,IEEE Transactions on Software Engineering,Idea of reducing tech. debt by refactoring,
To Read,Type-migrating C-to-Rust translation using a large language model,Hong et al.,2024,Journal article,https://doi.org/10.1007/s10664-024-10573-2,Springer Emperical Software Engineering,Background on migr. strategy,
To Read,"Revisiting Legacy Software System
Modernization",Ravi Khadka,2016,Doctor thesis,https://webspace.science.uu.nl/~hage0101/downloads/ravikhadka16revisitinglegacysoftwaresystemmodernization-phd.pdf,Utrecht University,(Business) overview of software modernization,
To Read,"Contemporary Software Modernization: Strategies, Driving Forces, and Research Opportunities",Assunção et al.,2025,Journal article,https://dl.acm.org/doi/10.1145/3708527,ACM's TOSSEM,"Overview of softw. modernization, including changing prog.lang.",